Modell,Thema_ID,Anzahl_Dokumente,Label_Intern,Wort 1,Wort 2,Wort 3,Wort 4,Wort 5,Wort 6,Wort 7,Wort 8,Wort 9,Wort 10
BERTopic,0,1973,0_veraltet_medizinisch_daten_security,veraltet,medizinisch,daten,security,sicherheit,krankenhaus,zugriff,feststellen,gesundheitsdienstleister,durchführen
BERTopic,1,692,1_digital_marketingagentur_problem_kampagne,digital,marketingagentur,problem,kampagne,marketing,beeinträchtigen,agency,störung,lösung,versuchen
BERTopic,2,607,2_digital_kampagne_engagement_ergebnis,digital,kampagne,engagement,ergebnis,target,campaigns,audience,marketing,content,angepasst
BERTopic,3,427,3_server_benutzer_serverüberlastung_erhöht,server,benutzer,serverüberlastung,erhöht,nutzer,problem,serverbelastung,starten,verzögerung,leeren
BERTopic,4,387,4_billing_rechnung_payment_gebühr,billing,rechnung,payment,gebühr,überprüfen,account,invoice,subscription,zahlung,letzter
BERTopic,5,357,5_treffen_entscheidung_optimierung_datenanalyse,treffen,entscheidung,optimierung,datenanalyse,investitionsentscheidung,tools,investitionsstrategien,verbesserung,freuen,datenanalysetools
BERTopic,6,216,6_medizinisch_daten_vertraulichkeit_integrität,medizinisch,daten,vertraulichkeit,integrität,patientendat,schutz,schützen,verfügbarkeit,sensibl,gewährleisten
BERTopic,7,198,7_optimierung_investition_analysis_datenanalyse,optimierung,investition,analysis,datenanalyse,investment,investments,optimization,investitionsstrategien,data,mehr
BERTopic,8,184,8_gerät_router_verbindungsproblem_netzwerkeinstellung,gerät,router,verbindungsproblem,netzwerkeinstellung,problem,verbindung,starten,neu,mehrere,beeinträchtigen
BERTopic,9,179,9_saas_project_platform_the,saas,project,platform,the,management,issue,issues,with,and,resolve
BERTopic,10,128,10_saas_management_project_features,saas,management,project,features,would,platform,for,more,could,integration
BERTopic,11,120,11_rabatt_verfügbar_aktion_kosten,rabatt,verfügbar,aktion,kosten,zahlungsmethod,preis,etwaig,payment,gebühr,detailliert
BERTopic,12,114,12_strategie_dienstleistung_mehr_digital,strategie,dienstleistung,mehr,digital,freuen,erfahren,darauf,ansatz,markenwachstum,hören
BERTopic,13,100,13_aktualisierung_digital_strategie_fördern,aktualisierung,digital,strategie,fördern,marketingstrategie,markenwachstum,our,verbessern,steigern,marketing
BERTopic,14,95,14_markenwachstum_strategie_digital_mehr,markenwachstum,strategie,digital,mehr,förderung,fördern,detail,growth,viele,digitalen
BERTopic,15,94,15_verzögerung_datenverarbeitung_beeinträchtigen_unternehmen,verzögerung,datenverarbeitung,beeinträchtigen,unternehmen,erlebt,neustart,verzögern,rechtzeitig,erleben,investitionsanalyse
BERTopic,16,87,16_melden_problem_versuchen_neu,melden,problem,versuchen,neu,lösung,mehrere,anwendung,weiterhin,falls,weit
BERTopic,17,83,17_sicherung_daten_medizinisch_medical,sicherung,daten,medizinisch,medical,liefern,sicherstellung,bereitstellen,detail,information,dienstleistung
BERTopic,18,72,18_issue_the_dear_customer,issue,the,dear,customer,data,software,your,please,restarting,solution
BERTopic,19,71,19_hipaa_einhaltung_medizinisch_gdpr,hipaa,einhaltung,medizinisch,gdpr,zugriffskontroll,verfügbarkeit,iso,daten,integrität,vertraulichkeit
BERTopic,20,65,20_finanzunternehmen_fehler_lösung_trotz,finanzunternehmen,fehler,lösung,trotz,bestehen,weiterhin,problem,melden,investitionsentscheidung,softwarekonflikt
BERTopic,21,60,21_aktualisierung_kompatibilität_verbessern_integration,aktualisierung,kompatibilität,verbessern,integration,update,produkt,leistung,arbeitsablauf,reibungslos,anfrage
BERTopic,22,60,22_projektmanagement_mehr_projekt_skalierungsoptionen,projektmanagement,mehr,projekt,skalierungsoptionen,detail,anpassungsoption,erfahren,skalierbarkeit,zusammenarbeit,plattform
BERTopic,23,58,23_integration_dokumentation_tutorials_verfügung,integration,dokumentation,tutorials,verfügung,stellen,dokumentationen,detailliert,integrationsprozess,ressource,freuen
BERTopic,24,57,24_adobe_creative_cloud_sign,adobe,creative,cloud,sign,illustrator,photoshop,erstellen,integration,anleitung,nutzen
BERTopic,25,56,25_brand_strategies_more_about,brand,strategies,more,about,marketing,growth,your,awareness,can,services
BERTopic,26,54,26_sicherheitsprotokolle_regelmäßig_schützen_verschlüsselung,sicherheitsprotokolle,regelmäßig,schützen,verschlüsselung,umfasst,medizinisch,erweitert,gewährleisten,daten,sensibl
BERTopic,27,49,27_regelmäßig_cyberangriffe_firewall_bedeutung,regelmäßig,cyberangriffe,firewall,bedeutung,schutz,krankenhaus,verschlüsselung,entscheidend,schützen,daten
BERTopic,28,49,28_investition_optimierung_investitionsstrategien_einblicken,investition,optimierung,investitionsstrategien,einblicken,anleitung,hilfe,investitionsstrategi,danken,entscheidungsprozesse,optimizing
BERTopic,29,48,29_slowdowns_delays_processing_financial,slowdowns,delays,processing,financial,issue,data,resolve,delay,investment,the
BERTopic,31,46,31_integration_integrationsoption_dokumentation_bereitstellen,integration,integrationsoption,dokumentation,bereitstellen,mongodb,detail,mehr,umfassend,bitte,detailliert
BERTopic,30,46,30_loading_times_users_serv,loading,times,users,serv,load,project,delays,delay,peak,dashboards
BERTopic,32,45,32_medical_hospitals_solutions_security,medical,hospitals,solutions,security,data,compliance,securing,about,sensitiv,encryption
BERTopic,33,44,33_comprehensiv_zusätzlich_able_bereitstellen,comprehensiv,zusätzlich,able,bereitstellen,detail,information,documentation,dienstleistung,dokumentation,provide
BERTopic,34,44,34_request_investment_analysis_decisions,request,investment,analysis,decisions,would,significantly,current,data,informed,for
BERTopic,35,44,35_outage_outages_the_serv,outage,outages,the,serv,currently,issue,project,service,affecting,our
BERTopic,36,43,36_financial_firm_investment_analysis,financial,firm,investment,analysis,the,data,resolve,company,software,conflicts
BERTopic,37,42,37_clickup_crashes_compatibility_applications,clickup,crashes,compatibility,applications,project,with,crash,issues,pro,have
BERTopic,40,41,40_digital_strategie_strategeisen_detail,digital,strategie,strategeisen,detail,aws,bieten,sabrent,strategiedienstleistung,can,mehr
BERTopic,39,41,39_microsoft_dynamics_integration_azure,microsoft,dynamics,integration,azure,office,rechnungsstellungsoption,verbessern,detailliert,excel,relevant
BERTopic,38,41,38_installieren_neu_treiber_neustart,installieren,neu,treiber,neustart,versuchen,lösen,neuinstallation,problem,konfigurationsänderunge,que
BERTopic,41,40,41_digital_suchmaschinenoptimierung_marketing_interessiert,digital,suchmaschinenoptimierung,marketing,interessiert,strategie,marketingstrategie,markenbekanntheit,methode,mehr,effektiv
BERTopic,42,40,42_beobachten_langsam_verzögerung_stoßzeiten,beobachten,langsam,verzögerung,stoßzeiten,plötzlich,abnehmen,anstieg,woche,reagieren,häufig
BERTopic,43,37,43_digital_fördern_brand_marketing,digital,fördern,brand,marketing,markenwachstum,marketingstrategie,growth,produktplattforme,markenpräsenz,verbessern
BERTopic,44,35,44_oracle_database_integrität_medizinisch,oracle,database,integrität,medizinisch,sicherung,krankenhaus,daten,verwendung,vertraulichkeit,gewährleisten
BERTopic,45,34,45_quickbooks_online_rechnungsstellungsoption_integrieren,quickbooks,online,rechnungsstellungsoption,integrieren,plan,vorteil,preis,verfügbar,integration,voraussetzung
BERTopic,49,33,49_project_management_issues_maus,project,management,issues,maus,api,with,compatibility,facing,seem,despit
BERTopic,50,33,50_navigation_interface_benutzeroberfläche_user,navigation,interface,benutzeroberfläche,user,benutzerfreundlichkeit,intuitiv,layout,schlagen,verwirrend,accessibility
BERTopic,46,33,46_mysql_postgresql_integration_bereitstellen,mysql,postgresql,integration,bereitstellen,einrichtung,detailliert,squarespace,integratehen,sql,einschränkung
BERTopic,48,33,48_microsoft_dynamics_sicherung_medizinisch,microsoft,dynamics,sicherung,medizinisch,vertraulichkeit,verfügbarkeit,integrität,daten,sensibl,praktik
BERTopic,47,33,47_service_serv_overload_outagen,service,serv,overload,outagen,affected,interruption,unexpected,experienced,multiple,disruptions
BERTopic,51,31,51_salesforce_github_crm_translator,salesforce,github,crm,translator,integration,nutzen,skalierbar,microsoft,verbessern,datenaustausch
BERTopic,52,30,52_synchronisierung_synchronisation_projektdateie_synchronisieren,synchronisierung,synchronisation,projektdateie,synchronisieren,synchronization,neu,behalten,projektdat,projektaktualisierung,asana
BERTopic,53,28,53_adobe_premiere_creative_pro,adobe,premiere,creative,pro,sign,illustrator,cloud,schwierigkeit,updates,datensynchronisation
BERTopic,54,28,54_finanzfirma_datenintegration_finanzunternehmen_finanzinstitut,finanzfirma,datenintegration,finanzunternehmen,finanzinstitut,kämpfen,investitionsanalyse,softwareinkompatibilität,erleben,systemneustart,investmentanalyse
BERTopic,55,28,55_algorithme_unzusammenhängend_modell_kalibrieren,algorithme,unzusammenhängend,modell,kalibrieren,kalibrierung,ergebnis,prognose,ungenau,algorithmus,immer
BERTopic,56,28,56_nest_wifi_router_google,nest,wifi,router,google,imac,routers,starten,ubiquiti,dream,unifi
BERTopic,57,27,57_verbesserung_kompatibilität_benutzererfahrung_verbessert,verbesserung,kompatibilität,benutzererfahrung,verbessert,verbessern,integrationsfunktion,integrationsfähigkeit,glauben,produkt,produktivität
BERTopic,58,26,58_skalierbarkeit_traffic_erhöht_plattform,skalierbarkeit,traffic,erhöht,plattform,skalierung,projekt,groß,wachsen,beziehung,bewältigen
BERTopic,59,26,59_krankenhäusern_schützen_notion_home,krankenhäusern,schützen,notion,home,daten,sicherung,medizinisch,gut,smart,bereitstellen
BERTopic,61,25,61_asus_xonar_audio_drivers,asus,xonar,audio,drivers,soundkarte,sound,card,meetings,computer,ton
BERTopic,60,25,60_payment_options_saas_billing,payment,options,saas,billing,fees,for,discounts,about,availabel,any
BERTopic,62,24,62_oracle_database_datenanalysemöglichkeit_plattform,oracle,database,datenanalysemöglichkeit,plattform,git,ansatz,integrationsprozess,datenanalyseplattform,voraussetzung,unsicher
BERTopic,63,24,63_postgresql_verschlüsselung_sql_schützen,postgresql,verschlüsselung,sql,schützen,daten,sicherung,patientendat,medizinisch,sensibel,vorschrift
BERTopic,64,23,64_kaspersky_internet_security_schaden,kaspersky,internet,security,schaden,verdächtig,aktivität,ändern,patientendat,unbefugt,medizinisch
BERTopic,65,23,65_macbook_air_apple_printer,macbook,air,apple,printer,idea,intellij,häufig,airtable,ios,brechen
BERTopic,66,23,66_kosten_dienstleistung_aktion_rabatt,kosten,dienstleistung,aktion,rabatt,gebühr,detailliert,erkundigen,marketingdienstleistungen,aufschlüsselung,zahlungsmöglichkeit
BERTopic,67,22,67_cloud_ibm_google_einhaltung,cloud,ibm,google,einhaltung,medizinisch,daten,sicherung,sicher,platform,gesundheitsapplikation
BERTopic,68,22,68_hilfe_assistance_brauchen_beistand,hilfe,assistance,brauchen,beistand,benötigen,bekommen,requested,needed,benötig,participation
BERTopic,69,21,69_investitionsprognosen_datenquellen_models_algorithme,investitionsprognosen,datenquellen,models,algorithme,risikoauswertungen,modell,unstabil,investitionsoptimierungsmodell,declines,dateneingabefehler
BERTopic,70,21,70_elasticsearch_integration_ressource_bereitstellen,elasticsearch,integration,ressource,bereitstellen,willkommen,konfigurationseinstellung,einrichtung,jenkins,php,anleitung
BERTopic,71,21,71_security_medical_measures_data,security,medical,measures,data,protocols,sensitiv,regular,patient,confidentiality,encryption
BERTopic,72,21,72_login_users_authentication_serv,login,users,authentication,serv,difficulties,temporary,intermittent,brows,experiencing,user
BERTopic,73,20,73_verschlüsselung_medizinisch_daten_brauchen,verschlüsselung,medizinisch,daten,brauchen,einklang,vorschrifn,anleitungen,premiere,adobe,sicher
BERTopic,74,20,74_funktionsvergleich_bereitstellen_umfassend_metrics,funktionsvergleich,bereitstellen,umfassend,metrics,skalierbarkeitsfunktion,anforderungen,skalierung,skalierbare,kompatibilität,skalierbarkeitsvorteile
BERTopic,77,19,77_beheben_fehler_berichtigen_korrektur,beheben,fehler,berichtigen,korrektur,schwer,bekommen,absturz,problem,crash,fehlerhaft
BERTopic,78,19,78_cisco_webex_meetings_meeting,cisco,webex,meetings,meeting,kontaktieren,investitionsentscheidungen,datenanalyse,integration,anlageentscheidung,anlagestrategie
BERTopic,76,19,76_financial_analysis_data_firm,financial,analysis,data,firm,performing,investment,outdated,discrepancies,optimization,jenkins
BERTopic,75,19,75_markenwachstumsstrategie_markenwachstum_markenwachstumsquote_ausgewählt,markenwachstumsstrategie,markenwachstum,markenwachstumsquote,ausgewählt,produktlinie,jenkins,strategie,kundenengagemenen,steigern,ankurbeln
BERTopic,79,18,79_neu_wiederherstellen_funktionalität_installieren,neu,wiederherstellen,funktionalität,installieren,fehler,betroffen,starten,systemfehler,updates,mehrere
BERTopic,80,18,80_cloud_ibm_google_django,cloud,ibm,google,django,optimierung,pytorch,chance,anlagentscheidung,plex,einrichtung
BERTopic,81,18,81_cassandra_hubspot_crm_aws,cassandra,hubspot,crm,aws,verfolgung,einrichtung,integration,books,datarobot,konfiguration
BERTopic,84,17,84_wartungsarbeiten_wartungsarbeit_wartungsfenster_ausfallzeiten,wartungsarbeiten,wartungsarbeit,wartungsfenster,ausfallzeiten,ausfall,geplant,minimieren,betrieb,störung,führen
BERTopic,85,17,85_softwareprogramm_softwarekonflikt_investitionsanalyseprozesse_kompatibilitätsprobleme,softwareprogramm,softwarekonflikt,investitionsanalyseprozesse,kompatibilitätsprobleme,darstellung,neu,anwendung,behindern,wiederherstellen,zusammen
BERTopic,83,17,83_postgresql_django_large_optimierung,postgresql,django,large,optimierung,kombiniert,querying,investition,pipeline,rapidminer,investmentstrategien
BERTopic,82,17,82_sql_serv_nuendo_projektbericht,sql,serv,nuendo,projektbericht,datenbank,datenbankverbindung,microsoft,fehler,datenbankdien,unvorhersehbar
BERTopic,86,16,86_unterscheiden_beitrag_beschreibung_behilflich,unterscheiden,beitrag,beschreibung,behilflich,helfen,ungenau,einblick,assisen,bitte,erkennen
BERTopic,87,16,87_krankenhaus_sicherheitsmaßnahme_sicherheitsaktualisierunge_anfrage,krankenhaus,sicherheitsmaßnahme,sicherheitsaktualisierunge,anfrage,fortschritt,medizinisch,daten,schutz,krankenhausauftrittsicherheitssystem,entgegengenommen
BERTopic,88,16,88_strategie_strategien_liefern_kompetenz,strategie,strategien,liefern,kompetenz,engagierung,überdenken,information,überarbeien,verschlußsicherung,bieten
BERTopic,89,16,89_projektmanagement_neu_diensten_projektaktualisierung,projektmanagement,neu,diensten,projektaktualisierung,versuchen,functionality,problem,dienstausfallperiode,projektverwaltungsfeatures,codeschaltung
BERTopic,94,15,94_netgear_nighthawk_mesh_router,netgear,nighthawk,mesh,router,wlan,connectivity,devices,network,unkompatibel,tested
BERTopic,97,15,97_gesundheitsdate_krankenhäusern_dienstleistung_sicherheitslösung,gesundheitsdate,krankenhäusern,dienstleistung,sicherheitslösung,angeboten,gesundheitsorganisation,schutz,krankenhaus,hardwarelösung,paketdetail
BERTopic,96,15,96_statistics_spss_ibm_analysis,statistics,spss,ibm,analysis,for,investment,softwarepaket,investmentanalyse,investitionsentscheidung,features
BERTopic,95,15,95_mailchimp_sendgrid_zustellbarkeit_tensorflow,mailchimp,sendgrid,zustellbarkeit,tensorflow,email,campaigns,personalisiert,matlab,gezielt,marketingautomatisierungstools
BERTopic,91,15,91_maco_monterey_macos_mac,maco,monterey,macos,mac,mini,abstürz,obs,arbeit,macbook,zuzuordnen
BERTopic,93,15,93_projektverwaltung_workflow_zusammenarbeit_verbessern,projektverwaltung,workflow,zusammenarbeit,verbessern,integration,integrationsmöglichkeit,intelligent,mehr,notion,daran
BERTopic,90,15,90_sage_accounting_buchhaltung_beide,sage,accounting,buchhaltung,beide,python,einbindung,duolingo,einstieg,erleichtern,ressource
BERTopic,92,15,92_vorfall_erbitten_nachricht_umsetzbar,vorfall,erbitten,nachricht,umsetzbar,hoffnung,erklärung,klar,entschuldigen,kürzlich,rückgabe
BERTopic,98,14,98_google_keep_meet_clickup,google,keep,meet,clickup,integration,notes,notiz,efficiency,users,schoology
BERTopic,99,14,99_vertraulichkeit_integrität_medizinisch_gewährleistungen,vertraulichkeit,integrität,medizinisch,gewährleistungen,gewährleisten,verfügbarkeit,protokoll,sicherung,kontakti,datenerfassung
BERTopic,100,14,100_alteryx_aws_datenanalyse_möglichkeit,alteryx,aws,datenanalyse,möglichkeit,anlageerfolge,datensätze,asset,can,trends,investition
BERTopic,101,14,101_pytorch_magento_professional_pycharm,pytorch,magento,professional,pycharm,einstieg,dokumentationen,ressource,ubuntu,lts,stellen
BERTopic,102,14,102_projektmanagement_dokumentation_integration_about,projektmanagement,dokumentation,integration,about,integrationsprozess,detailliert,documentation,project,rahmen,would
BERTopic,106,13,106_investment_optimization_the_analysis,investment,optimization,the,analysis,issue,data,replenishment,crashed,prepar,restarting
BERTopic,109,13,109_anlagebericht_marktteilung_dateneingliederung_datenauswertungsfernzeug,anlagebericht,marktteilung,dateneingliederung,datenauswertungsfernzeug,wahr,datenaufcharge,datensubstanzen,datenverarbeitungsaufgab,datenverarbeitung,leistungsanalysen
BERTopic,107,13,107_docusign_nutzen_tutorials_nutzung,docusign,nutzen,tutorials,nutzung,werkzeug,benutzerhandbüch,anlageportfolio,tools,effektiv,anleitung
BERTopic,108,13,108_aktualisierung_abrechnungssystem_finanzverwaltung_derzeitig,aktualisierung,abrechnungssystem,finanzverwaltung,derzeitig,kunde,abrechnungsprozesses,preisstruktur,veralten,anfragen,berechnen
BERTopic,105,13,105_dienste_integrationsfehlers_mehrere_kritisch,dienste,integrationsfehlers,mehrere,kritisch,updates,zusammenhängen,integrationse,systemfehlwerk,drittanbieterdienst,integrationsverbindungen
BERTopic,104,13,104_plugin_plugins_php_ableton,plugin,plugins,php,ableton,kompatibilitätsprobleme,live,unkompatibele,ausfallen,baldmöglichst,systemausfall
BERTopic,103,13,103_clearing_dashboard_displays_cache,clearing,dashboard,displays,cache,restarting,the,did,resolv,issue,recent
BERTopic,110,12,110_squarespace_slack_markensichtbarkeit_suchmaschin,squarespace,slack,markensichtbarkeit,suchmaschin,nutzen,markenpräsenz,werkzeuge,nutzung,tipps,engagement
BERTopic,111,12,111_dynamics_microsoft_surface_pro,dynamics,microsoft,surface,pro,markenentwicklung,kundenanalyse,branding,kundennähe,kundenbindung,example
BERTopic,112,12,112_tensorflow_vorteil_integration_integrationsprozess,tensorflow,vorteil,integration,integrationsprozess,herausforderung,sowie,hören,viele,darauf,einschränkung
BERTopic,113,12,113_jiraen_failing_critical_failed,jiraen,failing,critical,failed,between,issues,elasticsearch,integrierungen,due,compatibility
BERTopic,114,12,114_benutzer_leeren_anmeldefehler_gruppe,benutzer,leeren,anmeldefehler,gruppe,komponent,sporadisch,behalten,reibungslos,neu,nutzer
BERTopic,115,12,115_ungenau_datenanalyseberichten_recalculated_datenaktualisierungsmodul,ungenau,datenanalyseberichten,recalculated,datenaktualisierungsmodul,identified,dateneingab,bericht,although,reports,revaldizieren
BERTopic,116,11,116_datenanalysedienste_datenaufbereitungstools_datenschnittelleck_datenaufbereitungsanalysetools,datenanalysedienste,datenaufbereitungstools,datenschnittelleck,datenaufbereitungsanalysetools,entdecken,datenverlusen,erkennen,dürfen,datenpanne,datensperrung
BERTopic,117,11,117_optimierung_thermostat_einstellungsprozess_insights,optimierung,thermostat,einstellungsprozess,insights,intelligent,leiten,provid,skalierung,erkenntnisse,leisten
BERTopic,118,11,118_wachstum_strategin_strategie_digital,wachstum,strategin,strategie,digital,digitalen,erzeug,promoten,markenwachstumsinstrumenten,audiodaten,liefern
BERTopic,119,11,119_forecast_your_investment_data,forecast,your,investment,data,support,issue,dear,incorrect,platform,input
BERTopic,120,10,120_pricing_saas_features_about,pricing,saas,features,about,interested,options,management,discounts,project,more
